Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
YES,,,9,90.00%,,159,75.00%,,123,71.51%,,291,73.86%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF2,Wayne
NO,,,1,10.00%,,53,25.00%,,49,28.49%,,103,26.14%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF2,Wayne
YES,,,7,77.78%,,145,70.73%,,116,68.24%,,268,69.79%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF2,Wayne
NO,,,2,22.22%,,60,29.27%,,54,31.76%,,116,30.21%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF2,Wayne
YES,,,7,77.78%,,144,69.90%,,113,66.86%,,264,68.75%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF2,Wayne
NO,,,2,22.22%,,62,30.10%,,56,33.14%,,120,31.25%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF2,Wayne
YES,,,8,88.89%,,154,74.76%,,113,66.86%,,275,71.61%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF2,Wayne
NO,,,1,11.11%,,52,25.24%,,56,33.14%,,109,28.39%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF2,Wayne
YES,,,7,87.50%,,143,72.96%,,114,67.46%,,264,70.78%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF2,Wayne
NO,,,1,12.50%,,53,27.04%,,55,32.54%,,109,29.22%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF2,Wayne
YES,,,14,53.85%,,139,49.64%,,83,54.25%,,236,51.42%,PUBLIC QUESTION #1,JEFF3,Wayne
NO,,,12,46.15%,,141,50.36%,,70,45.75%,,223,48.58%,PUBLIC QUESTION #1,JEFF3,Wayne
Republican Party,REP,,6,75.00%,,128,74.42%,,69,80.23%,,203,76.32%,STRAIGHT PARTY,JEFF3,Wayne
Democratic Party,DEM,,2,25.00%,,44,25.58%,,15,17.44%,,61,22.93%,STRAIGHT PARTY,JEFF3,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,JEFF3,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,2,2.33%,,2,0.75%,STRAIGHT PARTY,JEFF3,Wayne
DONALD J. TRUMP JD VANCE,REP,,18,64.29%,,244,71.98%,,135,73.37%,,397,72.05%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,8,28.57%,,91,26.84%,,43,23.37%,,142,25.77%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,1,3.57%,,1,0.29%,,2,1.09%,,4,0.73%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,1,3.57%,,3,0.88%,,3,1.63%,,7,1.27%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,1,0.54%,,1,0.18%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF3,Wayne
JIM BANKS,REP,,17,58.62%,,237,70.75%,,133,74.30%,,387,71.27%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF3,Wayne
VALERIE MCCRAY,DEM,,10,34.48%,,82,24.48%,,39,21.79%,,131,24.13%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF3,Wayne
ANDREW HORNING,LIB,,2,6.90%,,16,4.78%,,7,3.91%,,25,4.60%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF3,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF3,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF3,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,17,58.62%,,197,58.46%,,119,66.11%,,333,60.99%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF3,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,11,37.93%,,115,34.12%,,56,31.11%,,182,33.33%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF3,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,3.45%,,25,7.42%,,5,2.78%,,31,5.68%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF3,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF3,Wayne
TODD ROKITA,REP,,18,62.07%,,240,71.86%,,135,75.84%,,393,72.64%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF3,Wayne
DESTINY WELLS,DEM,,11,37.93%,,94,28.14%,,43,24.16%,,148,27.36%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF3,Wayne
JEFFERSON SHREVE,REP,,17,58.62%,,231,69.58%,,133,74.72%,,381,70.69%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF3,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,10,34.48%,,83,25.00%,,41,23.03%,,134,24.86%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF3,Wayne
JAMES MICHAEL SCENIAK,LIB,,2,6.90%,,18,5.42%,,4,2.25%,,24,4.45%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF3,Wayne
BRADFORD BARRETT,REP,,25,100.00%,,265,100.00%,,144,100.00%,,434,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
RONALD J. (RON) MOORE,REP,,24,100.00%,,261,100.00%,,144,100.00%,,429,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
TARA PEGG,REP,,23,100.00%,,255,100.00%,,140,100.00%,,418,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
BETH FIELDS,REP,,24,100.00%,,257,100.00%,,143,100.00%,,424,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
R. BRENT MEADOWS,REP,,24,100.00%,,263,100.00%,,144,100.00%,,431,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
GORDON E. MOORE,REP,,24,100.00%,,257,100.00%,,141,100.00%,,422,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
AARON ROBERTS,REP,,24,100.00%,,252,100.00%,,142,100.00%,,418,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
JEFF PLASTERER,REP,,24,100.00%,,251,100.00%,,145,100.00%,,420,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,JEFF3,Wayne
GERALD (GARY) SAUNDERS,REP,,21,34.43%,,187,39.53%,,92,39.48%,,300,39.11%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF3,Wayne
MAX SMITH,REP,,20,32.79%,,147,31.08%,,72,30.90%,,239,31.16%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF3,Wayne
CATHY C. WILLIAMS,REP,,20,32.79%,,139,29.39%,,69,29.61%,,228,29.73%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF3,Wayne
JULIE BLAASE,,,19,76.00%,,191,68.95%,,95,65.97%,,305,68.39%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF3,Wayne
CANDACE M. TRAMEL,,,6,24.00%,,86,31.05%,,49,34.03%,,141,31.61%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF3,Wayne
MIKE BANNING,,,23,100.00%,,199,100.00%,,119,100.00%,,341,100.00%,NETTLE CREEK SCHOOL BOARD MEMBER District C - Vote for One (1) Only,JEFF3,Wayne
RUTHIE LAMAR,,,22,55.00%,,189,54.94%,,94,55.62%,,305,55.15%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF3,Wayne
SANDRA SCHRAUB,,,18,45.00%,,155,45.06%,,75,44.38%,,248,44.85%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF3,Wayne
YES,,,17,65.38%,,187,77.27%,,99,75.57%,,303,75.94%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF3,Wayne
NO,,,9,34.62%,,55,22.73%,,32,24.43%,,96,24.06%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF3,Wayne
YES,,,14,53.85%,,185,77.73%,,100,76.92%,,299,75.89%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF3,Wayne
NO,,,12,46.15%,,53,22.27%,,30,23.08%,,95,24.11%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF3,Wayne
YES,,,17,68.00%,,186,78.48%,,101,78.29%,,304,77.75%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF3,Wayne
NO,,,8,32.00%,,51,21.52%,,28,21.71%,,87,22.25%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF3,Wayne
YES,,,18,72.00%,,188,78.66%,,104,80.00%,,310,78.68%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF3,Wayne
NO,,,7,28.00%,,51,21.34%,,26,20.00%,,84,21.32%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF3,Wayne
YES,,,20,80.00%,,181,76.05%,,103,79.84%,,304,77.55%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF3,Wayne
NO,,,5,20.00%,,57,23.95%,,26,20.16%,,88,22.45%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF3,Wayne
YES,,,15,46.88%,,176,50.87%,,149,48.38%,,340,49.56%,PUBLIC QUESTION #1,NEWGAR,Wayne
NO,,,17,53.13%,,170,49.13%,,159,51.62%,,346,50.44%,PUBLIC QUESTION #1,NEWGAR,Wayne
Republican Party,REP,,16,59.26%,,204,80.63%,,182,86.26%,,402,81.87%,STRAIGHT PARTY,NEWGAR,Wayne
Democratic Party,DEM,,11,40.74%,,46,18.18%,,25,11.85%,,82,16.70%,STRAIGHT PARTY,NEWGAR,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.40%,,2,0.95%,,3,0.61%,STRAIGHT PARTY,NEWGAR,Wayne
We the People Party,WTP,,0,0.00%,,2,0.79%,,2,0.95%,,4,0.81%,STRAIGHT PARTY,NEWGAR,Wayne
DONALD J. TRUMP JD VANCE,REP,,25,54.35%,,333,77.08%,,314,82.20%,,672,78.14%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,21,45.65%,,96,22.22%,,60,15.71%,,177,20.58%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,2,0.46%,,1,0.26%,,3,0.35%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.23%,,7,1.83%,,8,0.93%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,NEWGAR,Wayne
JIM BANKS,REP,,27,61.36%,,321,75.89%,,307,81.65%,,655,77.70%,UNITED STATES SENATOR - Vote for One (1) Only,NEWGAR,Wayne
VALERIE MCCRAY,DEM,,17,38.64%,,95,22.46%,,59,15.69%,,171,20.28%,UNITED STATES SENATOR - Vote for One (1) Only,NEWGAR,Wayne
ANDREW HORNING,LIB,,0,0.00%,,7,1.65%,,10,2.66%,,17,2.02%,UNITED STATES SENATOR - Vote for One (1) Only,NEWGAR,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,NEWGAR,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,NEWGAR,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,25,53.19%,,300,70.75%,,288,75.99%,,613,72.12%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,NEWGAR,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,21,44.68%,,108,25.47%,,69,18.21%,,198,23.29%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,NEWGAR,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,2.13%,,16,3.77%,,22,5.80%,,39,4.59%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,NEWGAR,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,NEWGAR,Wayne
TODD ROKITA,REP,,28,60.87%,,319,75.24%,,310,83.56%,,657,78.12%,ATTORNEY GENERAL - Vote for One (1) Only,NEWGAR,Wayne
DESTINY WELLS,DEM,,18,39.13%,,105,24.76%,,61,16.44%,,184,21.88%,ATTORNEY GENERAL - Vote for One (1) Only,NEWGAR,Wayne
JEFFERSON SHREVE,REP,,28,62.22%,,327,76.94%,,304,81.72%,,659,78.27%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,NEWGAR,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,17,37.78%,,90,21.18%,,57,15.32%,,164,19.48%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,NEWGAR,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,8,1.88%,,11,2.96%,,19,2.26%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,NEWGAR,Wayne
BRADFORD BARRETT,REP,,34,100.00%,,359,100.00%,,336,100.00%,,729,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
RONALD J. (RON) MOORE,REP,,31,100.00%,,344,100.00%,,336,100.00%,,711,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
TARA PEGG,REP,,31,100.00%,,345,100.00%,,337,100.00%,,713,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
BETH FIELDS,REP,,31,100.00%,,345,100.00%,,336,100.00%,,712,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
R. BRENT MEADOWS,REP,,31,100.00%,,342,100.00%,,333,100.00%,,706,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
GORDON E. MOORE,REP,,33,100.00%,,341,100.00%,,336,100.00%,,710,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
AARON ROBERTS,REP,,31,100.00%,,341,100.00%,,330,100.00%,,702,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
JEFF PLASTERER,REP,,30,100.00%,,347,100.00%,,336,100.00%,,713,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,NEWGAR,Wayne
GERALD (GARY) SAUNDERS,REP,,16,42.11%,,219,39.39%,,211,41.05%,,446,40.25%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,NEWGAR,Wayne
MAX SMITH,REP,,10,26.32%,,159,28.60%,,154,29.96%,,323,29.15%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,NEWGAR,Wayne
CATHY C. WILLIAMS,REP,,12,31.58%,,178,32.01%,,149,28.99%,,339,30.60%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,NEWGAR,Wayne
PATRICK BARKER,,,14,51.85%,,144,43.50%,,131,42.95%,,289,43.59%,NORTHEASTERN SCHOOL BOARD MEMBER District B - Vote for One (1) Only,NEWGAR,Wayne
ANGELA G. (ANGIE) SMITH,,,13,48.15%,,187,56.50%,,174,57.05%,,374,56.41%,NORTHEASTERN SCHOOL BOARD MEMBER District B - Vote for One (1) Only,NEWGAR,Wayne
DAN VANDUYNE,,,23,100.00%,,249,100.00%,,255,100.00%,,527,100.00%,NORTHEASTERN SCHOOL BOARD MEMBER District C - Vote for One (1) Only,NEWGAR,Wayne
SHAWNTEL R. BAKER,,,22,100.00%,,254,100.00%,,254,100.00%,,530,100.00%,NORTHEASTERN SCHOOL BOARD MEMBER District D - Vote for One (1) Only,NEWGAR,Wayne
YES,,,22,78.57%,,238,85.00%,,217,79.78%,,477,82.24%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,NEWGAR,Wayne
NO,,,6,21.43%,,42,15.00%,,55,20.22%,,103,17.76%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,NEWGAR,Wayne
YES,,,22,78.57%,,226,81.88%,,217,79.49%,,465,80.59%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,NEWGAR,Wayne
NO,,,6,21.43%,,50,18.12%,,56,20.51%,,112,19.41%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,NEWGAR,Wayne
YES,,,21,77.78%,,230,83.33%,,216,80.00%,,467,81.50%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,NEWGAR,Wayne
NO,,,6,22.22%,,46,16.67%,,54,20.00%,,106,18.50%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,NEWGAR,Wayne
YES,,,22,81.48%,,228,82.31%,,214,78.68%,,464,80.56%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,NEWGAR,Wayne
NO,,,5,18.52%,,49,17.69%,,58,21.32%,,112,19.44%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,NEWGAR,Wayne
YES,,,23,85.19%,,221,81.25%,,213,79.48%,,457,80.60%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,NEWGAR,Wayne
NO,,,4,14.81%,,51,18.75%,,55,20.52%,,110,19.40%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,NEWGAR,Wayne
YES,,,2,22.22%,,71,42.01%,,39,39.80%,,112,40.58%,PUBLIC QUESTION #1,PERRY,Wayne
NO,,,7,77.78%,,98,57.99%,,59,60.20%,,164,59.42%,PUBLIC QUESTION #1,PERRY,Wayne
Republican Party,REP,,3,60.00%,,91,85.05%,,43,75.44%,,137,81.07%,STRAIGHT PARTY,PERRY,Wayne
Democratic Party,DEM,,2,40.00%,,16,14.95%,,12,21.05%,,30,17.75%,STRAIGHT PARTY,PERRY,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,PERRY,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,2,3.51%,,2,1.18%,STRAIGHT PARTY,PERRY,Wayne
DONALD J. TRUMP JD VANCE,REP,,3,25.00%,,164,78.47%,,84,73.68%,,251,74.93%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,9,75.00%,,42,20.10%,,26,22.81%,,77,22.99%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,2,0.96%,,2,1.75%,,4,1.19%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.48%,,0,0.00%,,1,0.30%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,PERRY,Wayne
